ProjectOrder,Batch,Slot,QuestionID,Stage,StageName,LogicalTopic,Domain,Module,Subtopic,Difficulty,Question
1,1,1,Q0012,1,"Java Platform, Entry Point & Basic Toolchain","JDK, JRE & JVM Overview",Java Foundations,"JDK, JRE & JVM Overview",JVM,D1 Foundation,What is the role of the JVM in making Java platform-independent?
2,1,2,Q0013,1,"Java Platform, Entry Point & Basic Toolchain","JDK, JRE & JVM Overview",Java Foundations,"JDK, JRE & JVM Overview",JDK / JRE,D2 Core,Can a machine have multiple versions of JDK or JRE installed?
3,1,3,Q0014,1,"Java Platform, Entry Point & Basic Toolchain","JDK, JRE & JVM Overview",Java Foundations,"JDK, JRE & JVM Overview",JVM,D2 Core,Can you tell me what JVM is and how it works?
4,1,4,Q0015,1,"Java Platform, Entry Point & Basic Toolchain","JDK, JRE & JVM Overview",Java Foundations,"JDK, JRE & JVM Overview",JVM / Execution,D2 Core,"If you were explaining to new developers how Java code executes, how would you describe the role of JVM in running a simple Java program that prints Hello World?"
5,1,5,Q0016,1,"Java Platform, Entry Point & Basic Toolchain","JDK, JRE & JVM Overview",Java Foundations,"JDK, JRE & JVM Overview",JVM / JDK / JRE,D2 Core,"Can you tell me the difference between JDK, JRE and JVM?"
6,2,1,Q0017,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Core Java / Main Method,D2 Core,Can you explain public static void main(String[] args) and why each term is used?
7,2,2,Q0018,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Core Java / Main Method,D2 Core,Can we overload the main() method?
8,2,3,Q0019,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Core Java / Main Method,D2 Core,What will happen if we don't declare the main() method as static?
9,2,4,Q0020,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Main Method,D2 Core,Why is the main method public and static?
10,2,5,Q0021,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Main Method,D2 Core,Can we override this main method?
11,3,1,Q0022,1,"Java Platform, Entry Point & Basic Toolchain","Compilation, Bytecode & Main Method",Java Foundations,"Compilation, Bytecode & Main Method",Main Method,D2 Core,"If the main() method is overloaded, can the JVM directly execute the overloaded version?"
12,3,2,Q2224,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D1 Foundation,What does the javac command do?
13,3,3,Q2225,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D1 Foundation,What does the java launcher do?
14,3,4,Q2226,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D1 Foundation,What does the jar tool do?
15,3,5,Q2227,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D1 Foundation,What is the purpose of javap?
16,4,1,Q2228,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D1 Foundation,How can javap be used to inspect bytecode or class signatures?
17,4,2,Q2236,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D2 Core,How do you specify a classpath when compiling and running Java code from the command line?
18,4,3,Q2237,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D2 Core,What is a manifest file inside a JAR?
19,4,4,Q2238,1,"Java Platform, Entry Point & Basic Toolchain",Java Toolchain & Packaging,Engineering Setup,Java Toolchain & Packaging,JDK Tools,D2 Core,What does the Main-Class manifest attribute do in an executable JAR?
20,4,5,Q0023,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Type Casting,D1 Foundation,What is Type Casting in Java?
21,5,1,Q0024,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Static Variables,D1 Foundation,What are static variables?
22,5,2,Q0025,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Conversion,D2 Core,How do you convert an Integer to a String and a String to an Integer?
23,5,3,Q0026,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Pointers,D2 Core,Can we declare Pointers in Java?
24,5,4,Q0027,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Pointers,D2 Core,Why doesn't Java provide explicit Pointers like C or C++?
25,5,5,Q0028,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Primitive Types,D2 Core,Can Primitive Data Types be null in Java?
26,6,1,Q0029,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Core Java / Type Casting,D2 Core,Which Exception may be thrown while performing an invalid Type Conversion or Casting?
27,6,2,Q0030,2,Language Fundamentals,"Variables, Data Types & Type Casting",Java Fundamentals,"Variables, Data Types & Type Casting",Primitive Data Types,D2 Core,Can primitive data types store a null value?
28,6,3,Q0031,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,Core Java / instanceof,D1 Foundation,What is the purpose of the instanceof Operator?
29,6,4,Q2029,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What is the difference between && and & when used with boolean expressions?
30,6,5,Q2030,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What is the difference between || and | when used with boolean expressions?
31,7,1,Q2031,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What is short-circuit evaluation in Java?
32,7,2,Q2032,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What are the arithmetic operators available in Java?
33,7,3,Q2033,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What are the relational operators available in Java?
34,7,4,Q2034,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What are the logical operators available in Java?
35,7,5,Q2035,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What are the bitwise operators available in Java?
36,8,1,Q2036,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,"What do the left-shift, signed right-shift, and unsigned right-shift operators do?"
37,8,2,Q2037,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,"What is the ternary operator, and when would you use it?"
